Title,Release_Date,Review_Process,Grant_Type,Focus_Area,Country,Application_Due_Date,PDF_Link
Advancing Oncology Education for Healthcare Professionals,2023-09-20T12:00:00Z, Pfizer Internal ,Education            ,Oncology            ,"Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Comoros, Congo, Congo, The Democratic Republic, Cote D'ivoire, Djibouti, Gabon, Guinea, Madagascar, Mali, Niger, Rwanda, Senegal, Seychelles, Togo            ",2023-10-19T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/English_2023%20ONC%20AFME%20HCP%20Education%20IME%20-%20September%2020%2C%202023.pdf?VersionId=HPf7KMfOPzJXfwzBPQB9C7IyuxbkJR0H
Pneumococcal Disease Prevention,2012-04-11T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_pdp.pdf?VersionId=UXE1R5LZ6Xo.RFJ1CYWMt3gpkGjbVGqS
Chronic Pain,2012-05-08T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_chronic_pain.pdf?VersionId=do3MBpPov1xmsN8QOUqxPf_xwIZ9JhEz
Bacterial Infections,2012-06-28T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_bacterial_infections.pdf?VersionId=msjnPlmmRiW8HRO3yQcNUaDbhkpgeHpx
Pharmacy Pneumococcal Disease Prevention,2012-06-28T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_pneumococcal_disease_prevention.pdf?VersionId=HYkVrnO2cIjePWHDrHVoA8QLwQ.DqSlI
Smoking Cessation,2012-07-02T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_smoking_cessation.pdf?VersionId=V.TyU65MEEd1GdobwEgjpgV3M.GTBg6m
Non-Small Cell Lung Cancer,2012-07-10T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_lung_cancer.pdf?VersionId=FoRHXos5CsAMd4781HKLJvXdBkoV9mAr
Cardiovascular Risk in Rheumatoid Arthritis,2012-07-25T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_cv_risk_ra.pdf?VersionId=GCfUZtVET1R.CTqB0lzpSp6fkfo4bBMb
Opioid Pain,2012-07-26T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_opioid_pain.pdf?VersionId=WPp1BKS7cVtpFCPTzPfu5JPco9S6UrPe
Adult Pneumococcal Disease Prevention,2012-08-29T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_adult_pdp.pdf?VersionId=8vGhfVo78U9WTNm0FSf2mecL0EBjrDLY
Prevention of Stroke in Women,2012-09-13T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_women_stroke.pdf?VersionId=S5ydp5gb3ULEUe7Fz2zzT6Q8yfYRGLEQ
Oncology Educational Needs Assessments,2012-10-22T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_oncology_needs_assessments.pdf?VersionId=FK.Z91PXaL76Du8ENFOFYZ0eRURELz9Q
Extension Grant,2012-11-01T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_extension_grant.pdf?VersionId=W1BAmWKQcyBl3cBv9aRxuA9.VnFD9TcG
